y,time,logy,logy_cycle,logy_trend,logy_sa,y_sa,logy_sa_cycle,logy_sa_trend
4888157066.0,1992-01-01,22.310081191278176,0.006050722903161443,22.304030468375014,,,,
4786017431.666667,1992-04-01,22.288964468646324,-0.019388054231669116,22.308352522877993,,,,
4951040103.333333,1992-07-01,22.32286351334002,0.010185154257236206,22.312678359082785,22.327816706474433,4975624396.294103,,
5215746722.333333,1992-10-01,22.374948102556925,0.05794846139961862,22.316999641157306,22.326041938420072,4966801648.546314,,
5031078901.666667,1993-01-01,22.33890029143074,0.017585892439864637,22.321314398990875,22.315182704481533,4913157780.328216,,
4584501552.333333,1993-04-01,22.24594722405889,-0.0797096562022972,22.32565688026119,22.298031180151366,4829608184.753601,,
4738596759.0,1993-07-01,22.27900688641913,-0.05106543740958003,22.33007232382871,22.280327501313494,4744858754.390421,,
4750864958.0,1993-10-01,22.281592534836474,-0.05296361518229631,22.33455615001877,22.278385568201543,4735653496.953683,,
4793978213.666667,1994-01-01,22.290626428448206,-0.048445434810119536,22.339071863258326,22.288947209459746,4785934829.611668,,
4737074661.666667,1994-04-01,22.278685622145844,-0.06486424356899079,22.343549865714834,22.30531344990047,4864907066.330427,,
4990298768.666667,1994-07-01,22.330761618397787,-0.017128662761230373,22.347890281159017,22.32381078150834,4955732288.051036,,
5142307401.0,1994-10-01,22.36076772638361,0.008815033174229825,22.35195269320938,22.341949015935665,5046440680.217127,,
5135432433.666667,1995-01-01,22.359429889764016,0.003843909693834746,22.35558598007018,22.361982407642486,5148557460.5740185,,
5112672181.333333,1995-04-01,22.35498803624863,-0.0036564930928015826,22.358644529341433,22.386298410604994,5275284300.074793,,
5427401645.0,1995-07-01,22.414726337949574,0.05374120688286155,22.360985131066712,22.41003802506127,5402015842.708662,,
5743479398.0,1995-10-01,22.471331030531896,0.10886874055049489,22.3624622899814,22.42668246170111,5492681801.892055,,
5559552749.666667,1996-01-01,22.43878350126594,0.07581940219074568,22.362964099075196,22.439055989239883,5561067867.347745,,
5395277753.666667,1996-04-01,22.408789917865413,0.04634322356478293,22.36244669430063,22.4408948333064,5571303211.716133,,
5678271310.666667,1996-07-01,22.459912676642997,0.09899907790639517,22.3609135987366,22.428739508735884,5503992135.661618,,
5571083768.333333,1996-10-01,22.440855444370577,0.08245814439384702,22.35839729997673,22.408524193308416,5393844286.337864,,
